question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
"In the Wikipedia excerpt: '2014 Kalbajar incident refers to the crossing of a small group of Azerbaijanis into Kalbajar district, their subsequent capture and conviction for murder and sabotage by the Republic of Artsakh. In July 2014, three ethnic Azerbaijanis crossed Nagorno-Karabakh Line of Contact in to Kalbajar District, then controlled by breakaway Republic of Artsakh forces. This was followed by disappearance of 17-year-old local Smbat Tsakanyan who', what is the most important word as per explainability?",2014,11.868061,4.215529,0.891127,-23.829264,-1.763719,118.849136
"In the Wikipedia excerpt: 'Parliamentary elections are scheduled to be held in Slovakia on 30 September 2023 to elect members of the National Council. The 2020 Slovak parliamentary election resulted in a coalition government led by the Ordinary People and Independent Personalities movement. On 15 December 2022 the Slovak government lost a no-confidence vote, and a snap election in 2023 was demanded by the President of Slovakia, Zuzana', what is the most important word as per explainability?",Slovakia,14.969303,2.283161,-1.050044,-17.867174,-1.140946,120.293457
"In the Wikipedia excerpt: 'An ongoing refugee crisis began in Africa in mid-April 2023 after the outbreak of the 2023 Sudan conflict. By 1 May 2023, an estimated 73,000 to 100,000 people [1] have fled the country, while over 5 million people have been displaced within the country. These included diplomats and citizens and foreign nationals from countries including Somalia, Eritrea, Brazil, the United States, the United Kingdom,', what is the most important word as per explainability?",Africa,15.913163,2.335168,-1.128999,-23.826542,-0.513634,118.679039
"In the Wikipedia excerpt: 'The 35th Lo Nuestro Awards were held at the Dade Arena in Miami on February 23, 2023, to recognize the most popular Spanish-language music of 2022. The ceremony will be broadcast on Univisión and will be hosted by television presenters Alejandra Espinoza and Adrián Uribe and singers Sebastián Yatra and Paulina Rubio.The nominees were announced on January 23, 2023, with Colombian singer Sebastián Yatra', what is the most important word as per explainability?",35th,13.776857,2.276952,0.255459,-30.154087,-1.612016,113.416237
"In the Wikipedia excerpt: 'Art Buff is a graffiti artwork by Banksy which was created in Folkestone in 2014, Banksy announcing it as ""part of the Folkestone triennial. Kind of"". The work depicts a woman wearing headphones and staring at a plinth, upon which rests a patch of painted-out graffiti. The name of the piece is a play on words, ""buff"" being a slang term for the painting', what is the most important word as per explainability?",Banksy,9.764532,8.639605,-2.287285,-28.462698,-1.598927,118.430443
"In the Wikipedia excerpt: 'The 14th National People's Congress is the current meeting of the legislative branch and, constitutionally, the supreme authority of the People's Republic of China. It convened in Beijing, on 5 March 2023, and is scheduled to continue until March 2028. Elections for the new Congress were held from October 2022 to February 2023. It is scheduled to hold five sessions in this period, occurring', what is the most important word as per explainability?",14th,13.837063,4.072354,-0.317950,-15.254546,0.248051,117.198692
"In the Wikipedia excerpt: 'The 23rd Actors and Actresses Union Awards ceremony was held on 10 March 2014 at the Teatro Coliseum in Madrid. The gala was hosted by Llum Barrera and Secun de la Rosa.In addition to the competitive awards, Carmen Pitillas, Dolores Ramírez, Delia Mateos and Pilar Vázquez (the promoters of the grassroots platform that managed to avoid the closure of the Renoir cinemas in Majadahonda)', what is the most important word as per explainability?",Madrid,10.995912,5.623431,-0.237583,-42.908031,-0.807091,122.581261
"In the Wikipedia excerpt: 'Breck David Lafave Bednar (17 March 1999 – 17 February 2014) was an English teenager of American descent from Caterham, Surrey, who was murdered by 18-year-old Lewis Daynes on 17 February 2014, at Daynes' flat in Grays, Essex. Bednar knew Daynes only through online gaming, and had never met him in person until he visited Daynes' flat on the day of the murder. Daynes', what is the most important word as per explainability?",English,12.032927,4.722989,-0.541541,-47.760620,-0.312215,120.008667
"In the Wikipedia excerpt: '2014 Commonwealth of Independent States Cup was the 22nd annual Commonwealth of Independent States Cup since its establishment in 1993. It was hosted in Saint Petersburg, Russia between 24 January and 2 February 2014. Saint Petersburg hosted the event for the fifth time, with all matches being held in a single venue (Saint Petersburg Sports and Concert Complex). All participating nations were represented by', what is the most important word as per explainability?",2014,13.565243,4.147068,-0.067823,-27.531511,-1.761669,118.753815
"In the Wikipedia excerpt: 'Various countries and organizations have responded to the 6 February 2023 Turkey–Syria earthquake. At least 105 countries and 16 international organizations pledged support for victims of the earthquake, including humanitarian aid. More than eleven countries provided teams with search and rescue dogs to locate victims under the debris and monetary support was offered as well.However, outreach to Syria was ""less enthusiastic"" than that to', what is the most important word as per explainability?",Turkey,13.016944,3.637015,-0.286277,-15.177669,-0.227342,117.637550
"In the Wikipedia excerpt: 'Advanced Land Observing Satellite 3 (ALOS-3), also called Daichi 3, was a 3-ton Japanese satellite launched on March 7 2023. It was to succeed the optical sensor PRISM (Panchromatic Remote-sensing Instruments for Stereo Mapping) carried on the ALOS satellite, which operated from 2006 to 2011. The ALOS-2 satellite and the future ALOS-4 satellite meanwhile carries a synthetic-aperture radar. The satellite was launched as the', what is the most important word as per explainability?",3-ton,9.926316,7.859385,-0.516084,-31.026321,-0.378610,116.558136
"In the Wikipedia excerpt: 'The 6th Hollywood Critics Association Film Awards, presented by the Hollywood Critics Association, took place on the evening of February 24, 2023 at the Beverly Wilshire Hotel, Beverly Hills, while the winners of the 1st Hollywood Critics Association Creative Arts Awards were announced earlier in the day on social media platforms. The nominations for both events were announced on the HCA official YouTube channel', what is the most important word as per explainability?",1st,8.631264,8.324101,-0.248631,-30.329132,0.215445,114.466133
"In the Wikipedia excerpt: 'The 2023 New Year Honours are appointments by some of the 15 Commonwealth realms to various orders and honours to recognise and reward good works by citizens of those countries. The New Year Honours are awarded as part of the New Year celebrations at the start of January and those for 2023 were announced on 30 December 2022. The recipients of honours are displayed', what is the most important word as per explainability?",2023,13.262888,4.432286,-0.502870,-24.294256,-0.965221,115.994637
"In the Wikipedia excerpt: 'The 2023 Census of Nigeria will be a detailed enumeration of the Nigerian population that will be the fifth national census in the country since Independence. It will be the first national census held since 2006. Over 190 Billion Naira (₦) has been allocated for the exercise. A pilot census will be held in July 2022 to get ready for the final census in', what is the most important word as per explainability?",Nigerian,10.305012,7.806527,-0.883217,-28.935888,-0.614925,119.495201
"In the Wikipedia excerpt: 'The war on terror, officially the Global War on Terrorism (GWOT), is a global counterterrorism military campaign initiated by the United States following the September 11 attacks and is also the most recent global conflict spanning multiple wars. The main targets of the campaign were militant Islamist and Salafi jihadist armed organisations such as Al-Qaeda, the Islamic State, and their international affiliates, which were', what is the most important word as per explainability?",Islamist,12.680879,3.996830,-0.520268,-11.355577,-1.142485,119.587242
"In the Wikipedia excerpt: 'Hamas, the governing authority in the Gaza Strip, has constructed a sophisticated network of military tunnels since it seized control of the Strip in 2007. The tunnel system branches beneath many Gazan towns and cities, such as Khan Yunis, Jabalia and the Shati refugee camp. The internal tunnels, running some dozens of kilometres within the Gaza Strip, have several functions. Hamas uses the tunnels', what is the most important word as per explainability?",Hamas,9.485653,8.024080,-1.364638,-15.218989,-1.813410,116.062607
"In the Wikipedia excerpt: 'From July 8 to August 26, 2014, another conflict between Israel and Gaza escalated and led to the outbreak of a war between Israel and Gaza. Between 2,127- 2,168 Gazans were killed, including 578 children. The Gaza Health Ministry reported more than 70% of the victims were civilians whilst Israel reported that 55% of the dead were civilians. On the Israeli side 66 soldiers', what is the most important word as per explainability?",Israel,14.346903,3.817022,-1.242076,-15.874559,0.438350,119.465668
"In the Wikipedia excerpt: 'A by-election was held in the Cook Islands electorate of Murienua on 19 February 2014. The by-election was precipitated by the resignation of the winner of the 2013 Murienua by-election following allegations of election fraud.Both candidates in the 2013 by-election indicated that they would run again. A ""stand-in"" candidate for the Cook Islands Party, Tare Mareiti, subsequently withdrew. The election was won by the', what is the most important word as per explainability?",Murienua,15.680340,1.338409,-0.874722,-17.609241,-0.143252,121.900848
"In the Wikipedia excerpt: 'The United States–Africa Leaders Summit 2014 was an international summit held in Washington D.C. from August 4–6, 2014. Leaders from fifty African states attended the three-day summit, which was hosted by U.S. President Barack Obama. The summit primarily focused on trade, investment and security of the continent. Leaders from 50 of the 54 existing African sovereign nations were invited to attend. After the summit,', what is the most important word as per explainability?",fifty,18.477810,-0.368119,-0.891399,-33.027145,-0.063894,120.477684
"In the Wikipedia excerpt: 'The 2023 Rey de Reyes (Spanish for ""2023 King of Kings"") was a professional wrestling tournament and supercard event produced by the Mexican Lucha Libre AAA Worldwide (AAA) promotion. The event was held on February 5, 2023, at Poliforum Zamna in Merida, Yucatan, Mexico. The 2023 event was the 26th Rey de Reyes show and tournament. In the main event match, Sam Adonis defeated', what is the most important word as per explainability?",2023,13.231417,4.681722,-1.215812,-1.901776,-5.178406,123.930824
"In the Wikipedia excerpt: 'The 2014 Tokyo gubernatorial election took place on February 9, 2014 to replace outgoing Governor Naoki Inose, who resigned effective December 24, 2013. Yōichi Masuzoe was declared the winner in exit polling, with a substantial lead over the fifteen other candidates. His final tally was 2,112,979 votes (42.86%), with his two closest competitors Morihiro Hosokawa and Kenji Utsunomiya failing to break the 20% mark.', what is the most important word as per explainability?",2014,16.018637,1.757757,-1.916594,-29.930815,-1.736181,120.461823
"In the Wikipedia excerpt: 'The 2023 New Year Honours in New Zealand were appointments by Charles III in his right as King of New Zealand, on the advice of the New Zealand government, to various orders and honours to reward and highlight good works by New Zealanders, and to celebrate the passing of 2022 and the beginning of 2023. They were announced on 31 December 2022.The recipients of', what is the most important word as per explainability?",2023,10.673194,5.418176,-0.157544,-23.931511,-3.031712,115.149254
"In the Wikipedia excerpt: 'Marchetti's constant is the average time spent by a person for commuting each day. Its value is approximately one hour, or half an hour for a one-way trip. It is named after Italian physicist Cesare Marchetti, though Marchetti himself attributed the ""one hour"" finding to transportation analyst and engineer Yacov Zahavi.Marchetti posits that although forms of urban planning and transport may change, and although', what is the most important word as per explainability?",Marchetti,7.442761,8.914213,-1.075699,-25.101454,-1.813950,116.435631
"In the Wikipedia excerpt: 'Election to the 6th convocation of the Moscow City Duma took place on the United Voting Day on September 14, 2014. The elections were held in full by the majority system, 45 deputies were elected in 45 single-member constituencies (previously there were 35 deputies in the Duma) out of 258 candidates. The term of the new Duma will be five years. The elections were', what is the most important word as per explainability?",6th,11.424400,5.909884,0.125517,-25.360075,-2.437759,116.359047
"In the Wikipedia excerpt: 'Live at Bush Hall is a concert film by British rock band Black Country, New Road released on 20 February 2023 through YouTube. It is the first official release since Ants from Up There and the departure of Isaac Wood, the band's vocalist, and consists of recordings from previously unreleased music performed live at Bush Hall, London, over the period of 15–16 December 2022.', what is the most important word as per explainability?",British,16.642954,1.491628,-2.085495,-41.471077,0.387906,125.219124
"In the Wikipedia excerpt: 'The 2023 DFB-Pokal Final will decide the winner of the 2022–23 DFB-Pokal, the 80th season of the annual German football cup competition. The match will be played on 3 June 2023 at the Olympiastadion in Berlin.The winner will host the 2023 edition of the DFL-Supercup at the start of the following season, and will face the champion of the 2022–23 edition of the Bundesliga,', what is the most important word as per explainability?",2023,12.903563,5.018347,-1.744687,-16.797796,-1.465157,119.731468
"In the Wikipedia excerpt: 'The Abkhazian Revolution took place in 2014, when President Aleksandr Ankvab resigned after hundreds of demonstrators stormed his office. After mass protests in the capital Sukhumi and the occupation of his office on 27 May, Ankvab fled to his hometown of Gudauta and ultimately resigned on 1 June, after previously denouncing the demonstration as an attempted coup d'état.The uprising was attributed to public anger', what is the most important word as per explainability?",2014,15.488952,1.498560,-0.970580,-46.081570,-2.985878,116.400017
"In the Wikipedia excerpt: 'The 75th Directors Guild of America Awards, honoring the outstanding directorial achievement in feature films, documentary, television and commercials of 2022, were presented on February 18, 2023. The ceremony was hosted by Judd Apatow, who previously hosted the ceremonies in 2018, 2020 and 2022. The nominations for the television and documentary categories were announced on January 10, 2023, while the nominations for the feature', what is the most important word as per explainability?",75th,13.098333,2.518548,-0.519403,-18.358725,-1.150337,114.368996
"In the Wikipedia excerpt: 'Organizations from around the world responded to the West African Ebola virus epidemic. In July 2014, the World Health Organization (WHO) convened an emergency meeting with health ministers from eleven countries and announced collaboration on a strategy to co-ordinate technical support to combat the epidemic. In August, they declared the outbreak an international public health emergency and published a roadmap to guide and coordinate', what is the most important word as per explainability?",eleven,14.330259,3.276189,-0.930790,-55.001667,0.350702,114.862846
"In the Wikipedia excerpt: 'Berkin Elvan (5 January 1999 – 11 March 2014) was a 15-year-old boy who was hit on the head by a tear-gas canister fired by a police officer in Istanbul during the June 2013 anti-government protests in Turkey. He died on March 11, 2014. Lawyers representing the family said Elvan's condition worsened over the last week of his life, with his weight dropping to', what is the most important word as per explainability?",15-year-old,13.149576,2.680886,-0.493602,-21.502850,-2.923730,114.109390
"In the Wikipedia excerpt: 'The 2023 United Kingdom pupil protests were a series of protests, demonstrations and riots which occurred across secondary schools in the United Kingdom in February and March 2023. The protests were held in opposition to some school rules, especially concerning the use of school toilets during lesson times and rules relating to school uniforms. Videos of the protests were widely circulated on TikTok, with', what is the most important word as per explainability?",2023,12.142510,4.196711,-0.303494,-32.553806,-1.841367,118.573814
"In the Wikipedia excerpt: 'The 2014 Channel O Music Video Awards took place on 29 November 2014 at the Nasrec Expo Centre in Soweto. Nominees were announced on 4 September. Cassper Nyovest, K.O and Davido led the nominations with 5 each. DJ Clock's hit song ""Pluto"", which features the singing trio Beatenberg, followed with 4. AKA and Uhuru both received three nominations apiece. Cassper Nyovest and Diamond Platnumz', what is the most important word as per explainability?",2014,10.992093,4.834689,0.208864,-38.156437,-2.378481,116.829521
"In the Wikipedia excerpt: 'A terrorist ramming attack occurred on 4 August 2014, when a man drove an excavator type of tractor out of a construction site, injuring several pedestrians and killing one man before ramming the tractor into a public bus, overturning the bus and then hitting it repeatedly. The terrorist was shot dead at the scene by a police officer while still seated at the wheel', what is the most important word as per explainability?",one,11.203290,6.036716,-1.397468,-38.135418,3.544249,115.422173
"In the Wikipedia excerpt: 'The Chinese Golf Factory Workers Strike for Essential Rights was a strike that happened in Shenzhen, China. On July 21, 2014, approximately 300 Chinese workers at China Qilitian Golf Articles (QLT), in Shenzhen, China, marched in a strike to obtain their essential rights as factory workers. One of the prominent leaders of the strike was Qi Jianguang, a 26-year-old man who worked at the', what is the most important word as per explainability?",Shenzhen,8.590928,6.510103,-0.076273,-36.299915,-1.570992,118.712463
